                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94178,                 5.1376,                0.99256,                0.64191,                0.05142,                0.03354,                0.02765,                0.80342,                  3.204,                0.88342,             5.3291e-05,             5.3291e-05,             5.3291e-05
                      2,                0.88103,                 3.6901,                0.94259,                0.52156,                0.13265,                0.08363,                0.06815,                0.77708,                 2.3007,                0.90033,              0.0001059,              0.0001059,              0.0001059
                      3,                0.82278,                 2.9203,                 0.9321,                0.40487,                0.18527,                0.11858,                0.09659,                0.73862,                 1.9249,                 0.8915,             0.00015744,             0.00015744,             0.00015744
                      4,                0.80545,                 2.5793,                0.93065,                 0.4793,                0.18973,                 0.1664,                  0.134,                0.73502,                  1.664,                0.88656,             0.00015622,             0.00015622,             0.00015622
                      5,                0.75971,                 2.3337,                0.91387,                0.49841,                0.26449,                0.23878,                0.19527,                0.72388,                 1.5175,                0.88985,             0.00015622,             0.00015622,             0.00015622
                      6,                0.76622,                  2.212,                0.92679,                0.69097,                0.24102,                0.28102,                0.22936,                0.71107,                 1.4172,                0.89399,             0.00015462,             0.00015462,             0.00015462
                      7,                0.74475,                 2.0273,                0.91488,                0.49103,                0.31259,                0.30098,                0.24812,                0.69682,                  1.342,                0.88248,             0.00015303,             0.00015303,             0.00015303
                      8,                0.73097,                  1.926,                0.91882,                0.57816,                0.31094,                0.33904,                0.27721,                0.71326,                 1.2498,                0.89141,             0.00015144,             0.00015144,             0.00015144
                      9,                0.72914,                 1.7768,                0.91825,                0.55449,                0.38613,                0.37994,                0.31061,                0.69355,                  1.143,                0.88587,             0.00014984,             0.00014984,             0.00014984
                     10,                0.71891,                 1.7269,                0.91413,                  0.671,                0.37008,                0.42708,                 0.3515,                0.69731,                 1.0809,                0.88377,             0.00014825,             0.00014825,             0.00014825
